server-1  | [GIN] 2025/12/16 - 19:38:17 | 200 |  139.866041ms |    192.168.65.1 | GET      "/product_categories"
server-1  | [GIN] 2025/12/16 - 19:38:17 | 200 |  142.030416ms |    192.168.65.1 | GET      "/products?limit=12&offset=0"
server-1  | [GIN] 2025/12/16 - 19:38:17 | 200 |  142.986458ms |    192.168.65.1 | POST     "/auth/me"
server-1  | [GIN] 2025/12/16 - 19:38:17 | 200 |  141.514458ms |    192.168.65.1 | GET      "/producers"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 200 |    4.452459ms |    192.168.65.1 | GET      "/product_categories"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 200 |    4.825708ms |    192.168.65.1 | GET      "/products?limit=12&offset=24"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 200 |    5.187708ms |    192.168.65.1 | GET      "/producers"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |   23.032667ms |      172.18.0.6 | GET      "/static/products/1765902971176220014_29.jpeg"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |   22.994875ms |      172.18.0.6 | GET      "/static/products/1765902966870945595_28.webp"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |      23.916ms |      172.18.0.6 | GET      "/static/products/1765902949354806378_26.jpeg"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |   24.460125ms |      172.18.0.6 | GET      "/static/products/1765902955871612256_27.webp"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |   23.169708ms |      172.18.0.6 | GET      "/static/products/1765902979319774753_30.png"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |   22.856667ms |      172.18.0.6 | GET      "/static/products/1765902983964183755_31.jpg"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |     324.333µs |      172.18.0.6 | GET      "/static/products/1765902990957545800_32.webp"
server-1  | [GIN] 2025/12/16 - 19:38:19 | 304 |     107.125µs |      172.18.0.6 | GET      "/static/products/1765902996829507053_33.jpeg"
