warehouse_db-1  | 
warehouse_db-1  | PostgreSQL Database directory appears to contain a database; Skipping initialization
warehouse_db-1  | 
warehouse_db-1  | 2025-12-15 17:41:42.693 UTC [1] LOG:  starting PostgreSQL 15.15 (Debian 15.15-1.pgdg13+1) on aarch64-unknown-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit
warehouse_db-1  | 2025-12-15 17:41:42.693 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
warehouse_db-1  | 2025-12-15 17:41:42.693 UTC [1] LOG:  listening on IPv6 address "::", port 5432
warehouse_db-1  | 2025-12-15 17:41:42.695 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
warehouse_db-1  | 2025-12-15 17:41:42.696 UTC [29] LOG:  database system was shut down at 2025-12-15 17:41:42 UTC
warehouse_db-1  | 2025-12-15 17:41:42.698 UTC [1] LOG:  database system is ready to accept connections
warehouse_db-1  | 2025-12-15 17:46:42.749 UTC [27] LOG:  checkpoint starting: time
warehouse_db-1  | 2025-12-15 17:46:43.698 UTC [27] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.936 s, sync=0.006 s, total=0.950 s; sync files=11, longest=0.005 s, average=0.001 s; distance=17 kB, estimate=17 kB
warehouse_db-1  | 2025-12-15 17:56:42.875 UTC [27] LOG:  checkpoint starting: time
warehouse_db-1  | 2025-12-15 17:56:43.820 UTC [27] LOG:  checkpoint complete: wrote 10 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.932 s, sync=0.007 s, total=0.946 s; sync files=9, longest=0.006 s, average=0.001 s; distance=12 kB, estimate=16 kB
warehouse_db-1  | 
warehouse_db-1  | PostgreSQL Database directory appears to contain a database; Skipping initialization
warehouse_db-1  | 
warehouse_db-1  | 2025-12-16 11:07:11.332 UTC [1] LOG:  starting PostgreSQL 15.15 (Debian 15.15-1.pgdg13+1) on aarch64-unknown-linux-gnu, compiled by gcc (Debian 14.2.0-19) 14.2.0, 64-bit
warehouse_db-1  | 2025-12-16 11:07:11.332 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
warehouse_db-1  | 2025-12-16 11:07:11.332 UTC [1] LOG:  listening on IPv6 address "::", port 5432
warehouse_db-1  | 2025-12-16 11:07:11.340 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
warehouse_db-1  | 2025-12-16 11:07:11.354 UTC [29] LOG:  database system was interrupted; last known up at 2025-12-15 17:56:43 UTC
warehouse_db-1  | 2025-12-16 11:07:12.203 UTC [29] LOG:  database system was not properly shut down; automatic recovery in progress
warehouse_db-1  | 2025-12-16 11:07:12.208 UTC [29] LOG:  redo starts at 0/1C08BA8
warehouse_db-1  | 2025-12-16 11:07:12.208 UTC [29] LOG:  invalid record length at 0/1C08C90: wanted 24, got 0
warehouse_db-1  | 2025-12-16 11:07:12.208 UTC [29] LOG:  redo done at 0/1C08C58 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
warehouse_db-1  | 2025-12-16 11:07:12.216 UTC [27] LOG:  checkpoint starting: end-of-recovery immediate wait
warehouse_db-1  | 2025-12-16 11:07:12.229 UTC [27] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.002 s, total=0.015 s; sync files=2, longest=0.002 s, average=0.001 s; distance=0 kB, estimate=0 kB
warehouse_db-1  | 2025-12-16 11:07:12.238 UTC [1] LOG:  database system is ready to accept connections
